elapsed_s,phase,port,alicat_addr,target_sp,alicat_psi,transducer_psi,transducer_v,offset
2.022,static,port_a,B,22.00,22.0400,20.9153,6.9718,-1.1247
2.166,static,port_a,B,22.00,22.0400,22.0590,7.3530,0.0190
2.309,static,port_a,B,22.00,22.0400,21.7228,7.2409,-0.3172
2.453,static,port_a,B,22.00,22.0400,22.0387,7.3462,-0.0013
2.597,static,port_a,B,22.00,22.0400,22.0569,7.3523,0.0169
2.741,static,port_a,B,22.00,22.0400,20.9847,6.9949,-1.0553
2.885,static,port_a,B,22.00,22.0400,22.0571,7.3524,0.0171
3.029,static,port_a,B,22.00,22.0400,22.0583,7.3528,0.0183
3.172,static,port_a,B,22.00,22.0400,21.1079,7.0360,-0.9321
3.317,static,port_a,B,22.00,22.0400,22.0518,7.3506,0.0118
3.460,static,port_a,B,22.00,22.0300,21.8681,7.2894,-0.1619
0.000,static,port_a,B,26.00,25.9700,24.3819,8.1273,-1.5881
0.152,static,port_a,B,26.00,25.9600,24.9678,8.3226,-0.9922
0.296,static,port_a,B,26.00,25.9600,25.9758,8.6586,0.0158
0.440,static,port_a,B,26.00,25.9600,25.6581,8.5527,-0.3019
0.584,static,port_a,B,26.00,25.9600,25.9345,8.6448,-0.0255
0.728,static,port_a,B,26.00,25.9600,25.9751,8.6584,0.0151
0.871,static,port_a,B,26.00,25.9600,24.5798,8.1933,-1.3802
1.015,static,port_a,B,26.00,25.9600,25.9666,8.6555,0.0066
1.159,static,port_a,B,26.00,25.9500,25.9712,8.6571,0.0212
1.303,static,port_a,B,26.00,25.9500,24.7370,8.2457,-1.2130
1.447,static,port_a,B,26.00,25.9500,25.9681,8.6560,0.0181
1.590,static,port_a,B,26.00,25.9500,25.9284,8.6428,-0.0216
1.734,static,port_a,B,26.00,25.9500,25.9481,8.6494,-0.0019
1.878,static,port_a,B,26.00,25.9500,25.9677,8.6559,0.0177
2.022,static,port_a,B,26.00,25.9500,24.5542,8.1847,-1.3958
2.166,static,port_a,B,26.00,25.9500,25.9658,8.6553,0.0158
2.309,static,port_a,B,26.00,25.9500,25.9682,8.6561,0.0182
2.453,static,port_a,B,26.00,25.9500,25.1149,8.3716,-0.8351
2.597,static,port_a,B,26.00,25.9500,25.9690,8.6563,0.0190
2.741,static,port_a,B,26.00,25.9500,25.3913,8.4638,-0.5587
